Kana,,,,,,,Romanji
モ,,,,,,,mo
ム,,,,,,,mu
ヤ,,,,,,,ya
ヲ,,,,,,,o
ナ,,,,,,,na
ネ,,,,,,,ne
ヘ,,,,,,,he
キ,,,,,,,ki
ス,,,,,,,su
サ,,,,,,,sa
ミ,,,,,,,mi
ワ,,,,,,,wa
リ,,,,,,,ri
エ,,,,,,,e
ル,,,,,,,ru
ウ,,,,,,,u
ニ,,,,,,,ni
ロ,,,,,,,ro
ク,,,,,,,ku
イ,,,,,,,i
チ,,,,,,,chi
レ,,,,,,,re
ノ,,,,,,,no
イ,,,,,,,i
タ,,,,,,,ta
ホ,,,,,,,ho
シ,,,,,,,shi
マ,,,,,,,ma
メ,,,,,,,me
オ,,,,,,,o
ユ,,,,,,,yu
ハ,,,,,,,ha
ケ,,,,,,,ke
ヌ,,,,,,,nu
テ,,,,,,,te
ラ,,,,,,,ra
ツ,,,,,,,tsu
ソ,,,,,,,so
エ,,,,,,,e
ヨ,,,,,,,yo
ト,,,,,,,to
フ,,,,,,,fu
ヒ,,,,,,,hi
コ,,,,,,,ko
エ,,,,,,,e
ア,,,,,,,a
セ,,,,,,,se
ン,,,,,,,n
イ,,,,,,,i
ウ,,,,,,,u
カ,,,,,,,ka